Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Richmond/Norfolk,Weekly,"2021-05-02 00:00:00",Conventional,0.950273938,402627.87,138951.69,70905.60,1052.44,81338.57,53005.89,6087.90,7434.38,110379.56
Roanoke,Weekly,"2021-05-02 00:00:00",Conventional,0.904790527,243956.56,84696.57,22268.81,72.58,47768.14,33897.48,4777.89,3832.85,89150.46
Sacramento,Weekly,"2021-05-02 00:00:00",Conventional,1.183305718,616810.53,146890.84,217581.92,1649.65,96103.30,81509.25,13990.59,3.15,154584.81
"San Diego",Weekly,"2021-05-02 00:00:00",Conventional,1.260552663,557961.39,81357.67,20249.26,10054.27,203689.93,195798.72,6073.20,1065.33,242610.26
"San Francisco",Weekly,"2021-05-02 00:00:00",Conventional,1.014001717,1205165.58,272175.92,248184.15,3714.15,128989.32,120983.64,7794.41,0.00,552102.04
Seattle,Weekly,"2021-05-02 00:00:00",Conventional,1.336847459,715787.99,122376.92,50484.44,473.81,72570.06,60918.90,6139.09,3357.38,469882.76
"South Carolina",Weekly,"2021-05-02 00:00:00",Conventional,1.059110660,627824.08,291133.78,60281.15,1967.43,156411.14,117045.13,20983.20,1837.16,118030.57
Spokane,Weekly,"2021-05-02 00:00:00",Conventional,1.164797466,96765.31,23466.20,6748.58,24.29,14919.40,11846.21,2637.73,200.26,51606.84
"St. Louis",Weekly,"2021-05-02 00:00:00",Conventional,0.931367019,265623.85,116909.74,9397.56,55.15,65853.37,58812.56,6740.61,0.00,73408.02
Syracuse,Weekly,"2021-05-02 00:00:00",Conventional,1.186924319,97548.58,10457.70,42839.83,539.61,39021.36,36824.32,2009.70,66.15,4690.09
Tampa,Weekly,"2021-05-02 00:00:00",Conventional,1.026497570,757496.14,329268.42,23577.20,32.92,193454.04,169410.41,11564.18,12118.05,211163.56
Toledo,Weekly,"2021-05-02 00:00:00",Conventional,1.015279576,168383.31,34851.99,22129.53,11841.63,30748.98,25142.22,1487.85,3525.66,68811.17
"West Tex/New Mexico",Weekly,"2021-05-02 00:00:00",Conventional,0.945134792,983417.65,297377.70,137146.10,8724.00,386266.86,331791.19,34491.88,18948.05,153903.00
Wichita,Weekly,"2021-05-02 00:00:00",Conventional,0.990905829,110431.95,29855.85,2735.31,6.21,27476.04,23296.10,2687.34,977.36,50358.54
California,Weekly,"2021-05-02 00:00:00",Conventional,1.150522457,6980342.70,1536391.62,811899.87,76416.46,1684111.40,1568656.99,79511.18,27199.17,2871523.35
"Great Lakes",Weekly,"2021-05-02 00:00:00",Conventional,1.060005807,4856414.10,916197.05,826902.88,287903.58,925478.59,812210.94,38566.44,59806.83,1899932.00
Midsouth,Weekly,"2021-05-02 00:00:00",Conventional,1.039808916,4738524.78,1680630.68,836738.04,20266.89,1322130.26,1041497.85,112219.60,47225.01,878758.92
Northeast,Weekly,"2021-05-02 00:00:00",Conventional,1.229401458,6339120.89,629010.05,3442035.36,7934.18,1863615.17,1779217.55,67596.23,12618.47,396526.13
Plains,Weekly,"2021-05-02 00:00:00",Conventional,1.115925702,2254852.39,695697.46,528356.72,1500.15,641187.35,478242.51,42880.07,43019.24,388110.71
"South Central",Weekly,"2021-05-02 00:00:00",Conventional,0.908349360,6055182.55,2723816.71,578386.93,98306.24,1617494.57,1354553.98,87893.93,144611.05,1037178.10
Southeast,Weekly,"2021-05-02 00:00:00",Conventional,1.066594798,6516332.69,3012408.50,251312.52,2971.80,1632215.60,1370475.87,164653.13,62910.29,1617424.26
West,Weekly,"2021-05-02 00:00:00",Conventional,1.071448238,7532566.67,1635949.13,826125.28,25147.12,1462744.93,1160717.15,135234.95,117569.58,3582600.21
"Total U.S.",Weekly,"2021-05-02 00:00:00",Conventional,1.080920189,45273336.75,12830101.20,8101757.59,520446.41,11148977.87,9565572.83,728555.52,514959.65,12672053.68
Albany,Weekly,"2021-05-02 00:00:00",Organic,1.676687307,3804.98,35.55,454.71,5.10,3105.88,3040.91,0.00,0.00,203.75
Atlanta,Weekly,"2021-05-02 00:00:00",Organic,1.577047140,34441.31,43.70,2991.05,0.00,11727.03,9518.71,0.00,0.00,19679.53
Baltimore/Washington,Weekly,"2021-05-02 00:00:00",Organic,1.217871666,100311.41,491.61,3258.47,11.48,94869.87,94761.27,0.00,0.00,1679.97
Birmingham/Montgomery,Weekly,"2021-05-02 00:00:00",Organic,1.416668905,10732.06,18.39,188.45,0.00,9076.68,7421.86,1138.26,0.00,1448.54
Boise,Weekly,"2021-05-02 00:00:00",Organic,2.028381176,6845.60,0.00,891.01,1.21,1732.50,1732.50,0.00,0.00,4220.88
Boston,Weekly,"2021-05-02 00:00:00",Organic,2.017458835,39753.66,34.11,2268.32,0.00,36655.03,36507.30,0.00,0.00,796.19
Buffalo/Rochester,Weekly,"2021-05-02 00:00:00",Organic,1.644575852,16023.93,968.73,132.22,3.33,14919.65,14919.65,0.00,0.00,0.00
Charlotte,Weekly,"2021-05-02 00:00:00",Organic,1.606024449,19727.59,50.41,3014.49,23.52,16350.91,15572.83,0.00,0.00,288.26
Chicago,Weekly,"2021-05-02 00:00:00",Organic,1.654646527,60898.39,379.36,4416.90,0.00,25459.95,24873.00,583.80,3.15,30642.18
Cincinnati/Dayton,Weekly,"2021-05-02 00:00:00",Organic,1.866959341,17399.12,667.82,2517.42,0.00,2728.28,2325.89,402.39,0.00,11485.60
Columbus,Weekly,"2021-05-02 00:00:00",Organic,1.745353613,11133.49,833.22,1049.36,0.00,3717.90,3137.52,580.38,0.00,5533.01
"Dallas/Ft. Worth",Weekly,"2021-05-02 00:00:00",Organic,1.510096625,52923.01,6758.78,534.47,0.00,33856.43,33856.43,0.00,0.00,11773.33
Denver,Weekly,"2021-05-02 00:00:00",Organic,1.280380791,229379.86,23631.24,1136.39,0.00,13607.08,13607.08,0.00,0.00,191005.15
Detroit,Weekly,"2021-05-02 00:00:00",Organic,1.511807970,19407.21,223.76,1813.86,0.00,9620.77,9620.77,0.00,0.00,7748.82
"Grand Rapids",Weekly,"2021-05-02 00:00:00",Organic,1.028523369,11357.16,36.70,1105.47,0.00,10214.99,10161.59,30.03,0.00,0.00
Harrisburg/Scranton,Weekly,"2021-05-02 00:00:00",Organic,1.295870431,24765.02,208.28,372.64,0.00,24177.82,23786.05,0.00,0.00,6.29
Hartford/Springfield,Weekly,"2021-05-02 00:00:00",Organic,1.986948886,18957.88,185.70,7067.16,4.44,11588.92,11194.85,0.00,0.00,111.67
Houston,Weekly,"2021-05-02 00:00:00",Organic,1.666237450,16092.50,4849.37,82.17,0.00,3462.38,3462.38,0.00,0.00,7698.60
Indianapolis,Weekly,"2021-05-02 00:00:00",Organic,1.637641131,10175.90,260.76,871.65,0.00,4826.53,3407.06,1419.46,0.00,4216.96
Jacksonville,Weekly,"2021-05-02 00:00:00",Organic,1.387859573,12860.27,19.34,226.71,0.00,12603.87,12603.87,0.00,0.00,10.35
"Las Vegas",Weekly,"2021-05-02 00:00:00",Organic,1.583872677,15513.48,705.14,415.50,0.00,7683.51,7683.51,0.00,0.00,6709.33
"Los Angeles",Weekly,"2021-05-02 00:00:00",Organic,1.708051193,146769.58,4463.72,2620.57,1.41,71806.11,69656.57,2129.40,3.15,67877.77
Louisville,Weekly,"2021-05-02 00:00:00",Organic,1.907433067,6105.03,6.07,565.90,0.00,1530.23,1483.40,46.83,0.00,4002.82
"Miami/Ft. Lauderdale",Weekly,"2021-05-02 00:00:00",Organic,1.275424748,49940.62,128.44,5.68,0.00,47071.70,47071.70,0.00,0.00,2734.80
Nashville,Weekly,"2021-05-02 00:00:00",Organic,1.702608918,17554.31,17.73,1484.35,0.00,7477.78,6428.91,0.00,0.00,8574.44
"Northern New England",Weekly,"2021-05-02 00:00:00",Organic,2.053657845,18182.08,31.86,726.43,0.00,15152.02,15136.56,0.00,0.00,2271.76
"New Orleans/Mobile",Weekly,"2021-05-02 00:00:00",Organic,1.155689886,16106.03,383.06,37.93,0.00,15527.33,12709.97,2817.36,0.00,157.71
"New York",Weekly,"2021-05-02 00:00:00",Organic,1.809315036,109303.82,8164.82,6155.24,124.52,89046.39,80887.61,0.00,0.00,5812.85
Orlando,Weekly,"2021-05-02 00:00:00",Organic,1.270874318,52373.64,57.24,0.00,0.00,30526.32,30526.32,0.00,0.00,21790.07
Peoria/Springfield,Weekly,"2021-05-02 00:00:00",Organic,1.606902159,4073.36,30.00,354.51,0.00,2592.02,2592.02,0.00,0.00,1096.82
Philadelphia,Weekly,"2021-05-02 00:00:00",Organic,1.741925087,33116.32,949.43,1784.80,0.00,26923.92,24437.32,0.00,0.00,3458.18
Phoenix/Tucson,Weekly,"2021-05-02 00:00:00",Organic,1.448612137,32593.48,2033.37,930.01,0.00,17013.13,17003.83,0.00,0.00,12616.97
Pittsburgh,Weekly,"2021-05-02 00:00:00",Organic,1.354329190,16532.64,3373.16,14.20,0.00,11533.96,11533.96,0.00,0.00,1611.32
Portland,Weekly,"2021-05-02 00:00:00",Organic,2.003768821,46051.41,166.91,9191.03,2.65,5916.02,4744.56,0.00,0.00,30774.80
Providence,Weekly,"2021-05-02 00:00:00",Organic,2.080131617,5102.49,6.01,33.53,0.00,5059.07,5044.89,0.00,0.00,3.87
Raleigh/Greensboro,Weekly,"2021-05-02 00:00:00",Organic,1.608737343,27155.56,576.89,2814.89,31.34,23373.39,23112.11,0.00,0.00,359.05
Richmond/Norfolk,Weekly,"2021-05-02 00:00:00",Organic,1.081411972,37778.97,46.05,1403.53,2.16,34057.93,33664.66,0.00,12.60,2269.30
Roanoke,Weekly,"2021-05-02 00:00:00",Organic,1.303167484,15406.69,50.81,977.60,0.00,11788.28,11788.28,0.00,0.00,2590.00
Sacramento,Weekly,"2021-05-02 00:00:00",Organic,1.736116083,26309.47,5399.50,3535.09,6.21,13662.52,12556.21,0.00,0.00,3706.15
"San Diego",Weekly,"2021-05-02 00:00:00",Organic,1.930846878,35308.86,644.61,1163.13,0.00,18934.10,18794.05,0.00,6.30,14567.02
"San Francisco",Weekly,"2021-05-02 00:00:00",Organic,1.811323696,79774.01,4204.51,4301.47,9.56,45263.84,43674.26,0.00,0.00,25994.62
Seattle,Weekly,"2021-05-02 00:00:00",Organic,1.978145224,76380.85,1374.03,11745.38,3.35,18398.42,13025.25,37.80,0.00,44859.67
"South Carolina",Weekly,"2021-05-02 00:00:00",Organic,1.623820208,28258.59,481.72,2492.12,22.41,20933.62,20225.86,0.00,0.00,4328.72
Spokane,Weekly,"2021-05-02 00:00:00",Organic,2.190415781,5542.14,230.71,1085.55,0.00,992.25,992.25,0.00,0.00,3233.63
"St. Louis",Weekly,"2021-05-02 00:00:00",Organic,2.206396545,6939.00,994.09,989.12,7.17,3529.31,3529.31,0.00,0.00,1419.31
Syracuse,Weekly,"2021-05-02 00:00:00",Organic,1.737262254,5665.91,265.70,115.11,0.00,5184.67,5156.47,0.00,0.00,100.43
Tampa,Weekly,"2021-05-02 00:00:00",Organic,1.084633446,26705.19,44.14,0.00,0.00,26567.24,26567.24,0.00,0.00,93.81
Toledo,Weekly,"2021-05-02 00:00:00",Organic,1.665949460,5191.82,57.93,533.01,0.00,2347.97,2279.78,68.19,0.00,2252.92
"West Tex/New Mexico",Weekly,"2021-05-02 00:00:00",Organic,1.274542099,30556.31,810.71,348.50,0.00,24654.00,24654.00,0.00,0.00,4743.10
Wichita,Weekly,"2021-05-02 00:00:00",Organic,1.643152436,3216.45,380.43,0.00,4.32,1128.23,1128.23,0.00,0.00,1703.47
California,Weekly,"2021-05-02 00:00:00",Organic,1.779789015,350868.26,21144.73,17724.79,19.86,181512.80,172264.34,2129.40,15.75,130466.08
"Great Lakes",Weekly,"2021-05-02 00:00:00",Organic,1.582630213,200875.67,6904.80,16706.37,2.39,98081.65,94048.67,4002.52,3.15,79180.46
Midsouth,Weekly,"2021-05-02 00:00:00",Organic,1.387149765,312093.74,1935.28,20872.41,86.85,253603.82,249279.83,206.51,34.65,35595.39
Northeast,Weekly,"2021-05-02 00:00:00",Organic,1.762967833,318372.42,15825.50,21407.73,139.31,265882.13,253140.39,0.00,0.00,15117.76
Plains,Weekly,"2021-05-02 00:00:00",Organic,1.690768122,50765.18,9063.33,2302.17,37.56,33511.56,30857.87,2633.75,0.00,5850.55
"South Central",Weekly,"2021-05-02 00:00:00",Organic,1.569655603,174551.20,33252.80,4311.33,0.00,111076.76,108753.05,2323.71,0.00,25910.31
Southeast,Weekly,"2021-05-02 00:00:00",Organic,1.356047861,280319.10,998.94,8017.11,27.57,208301.73,201107.95,3343.95,0.00,62973.73
West,Weekly,"2021-05-02 00:00:00",Organic,1.533403344,599309.59,43943.73,33994.29,7.51,115388.04,107215.33,37.80,0.00,405976.03
"Total U.S.",Weekly,"2021-05-02 00:00:00",Organic,1.572045220,2287155.17,133069.12,125336.20,321.05,1267358.49,1216667.43,14677.64,53.55,761070.31
Albany,Weekly,"2021-05-09 00:00:00",Conventional,0.988959189,174144.12,24174.02,117719.58,48.73,23953.72,21265.66,2485.35,7.35,8248.08
Atlanta,Weekly,"2021-05-09 00:00:00",Conventional,1.117481472,771334.67,292253.89,25350.32,44.73,174828.68,153038.09,15003.98,4346.52,278857.05
Baltimore/Washington,Weekly,"2021-05-09 00:00:00",Conventional,1.184895175,1100457.24,267749.09,311556.98,2974.78,407345.57,366036.78,309.49,24188.85,110830.82
Birmingham/Montgomery,Weekly,"2021-05-09 00:00:00",Conventional,1.097161654,346365.41,154935.38,6691.27,58.73,108056.37,89361.05,15780.19,1479.74,76623.66
Boise,Weekly,"2021-05-09 00:00:00",Conventional,1.306656360,130574.38,28671.21,7665.69,1542.24,33746.89,29727.06,82.69,3717.33,58948.35
Boston,Weekly,"2021-05-09 00:00:00",Conventional,1.338402780,755579.11,39270.80,438505.06,277.94,121773.29,113531.08,6347.25,0.00,155752.02
Buffalo/Rochester,Weekly,"2021-05-09 00:00:00",Conventional,1.262228722,221614.61,25298.86,64974.27,3035.44,120770.19,115345.24,4318.65,1033.20,7535.85
Charlotte,Weekly,"2021-05-09 00:00:00",Conventional,1.231939524,351571.27,150122.54,53360.17,3324.15,117568.74,87979.06,11747.93,0.00,27195.67
Chicago,Weekly,"2021-05-09 00:00:00",Conventional,1.261335217,834609.71,149157.79,89260.64,38764.23,209404.49,190948.62,1746.68,12275.12,348022.57
Cincinnati/Dayton,Weekly,"2021-05-09 00:00:00",Conventional,1.005143898,362939.20,95294.31,32225.25,137.06,41709.86,34698.66,244.26,5028.39,193572.73
Columbus,Weekly,"2021-05-09 00:00:00",Conventional,0.957495738,293284.04,79867.73,22346.32,102.69,47310.58,40316.06,11.03,5610.53,143656.72
"Dallas/Ft. Worth",Weekly,"2021-05-09 00:00:00",Conventional,0.934178508,1494318.35,572748.87,140840.22,18994.84,412577.38,356400.05,4323.64,49957.54,349157.04
Denver,Weekly,"2021-05-09 00:00:00",Conventional,1.221367560,922081.32,160924.39,71301.20,3286.02,288073.47,221132.73,30321.60,16194.43,398496.25
Detroit,Weekly,"2021-05-09 00:00:00",Conventional,0.967037790,576237.72,176933.99,36213.39,30471.81,106845.02,100348.24,21.53,5091.35,225773.51
"Grand Rapids",Weekly,"2021-05-09 00:00:00",Conventional,1.300822983,214989.59,66987.28,42518.04,35694.02,46549.03,41811.41,0.00,3669.75,23241.22
Harrisburg/Scranton,Weekly,"2021-05-09 00:00:00",Conventional,1.093300820,468317.78,188659.17,120472.40,256.81,140973.45,128585.25,8305.61,3912.83,17955.95
Hartford/Springfield,Weekly,"2021-05-09 00:00:00",Conventional,1.332175313,412434.89,12716.38,304069.24,273.56,85344.65,78420.99,6388.20,0.00,10031.06
Houston,Weekly,"2021-05-09 00:00:00",Conventional,0.842679724,1215296.75,586627.98,152818.36,3396.71,205709.33,182147.13,114.98,22029.84,266744.36
Indianapolis,Weekly,"2021-05-09 00:00:00",Conventional,1.019290742,288523.11,77388.52,45822.42,171.50,56358.92,48559.32,5057.19,1628.01,108781.75
Jacksonville,Weekly,"2021-05-09 00:00:00",Conventional,1.237681012,211041.53,91794.55,8338.19,70.86,69643.38,64457.45,5072.68,0.00,41194.55
"Las Vegas",Weekly,"2021-05-09 00:00:00",Conventional,1.123173569,399735.29,50336.21,43037.15,117.32,108733.02,98383.41,1049.08,8178.55,197511.59
"Los Angeles",Weekly,"2021-05-09 00:00:00",Conventional,1.319618843,2898293.96,630930.48,44954.37,94172.26,697135.39,659994.68,11387.25,20625.82,1431101.45
Louisville,Weekly,"2021-05-09 00:00:00",Conventional,1.018872174,145180.77,31898.17,10690.65,24.37,38768.59,31947.35,4417.22,900.63,63798.99
"Miami/Ft. Lauderdale",Weekly,"2021-05-09 00:00:00",Conventional,1.264706038,963727.50,496794.01,40924.75,101.78,283307.84,247025.71,9660.53,26211.15,142599.12
Nashville,Weekly,"2021-05-09 00:00:00",Conventional,1.125643326,318127.92,105597.11,11584.66,2.10,87514.37,73047.27,9252.21,2382.46,113429.68
"Northern New England",Weekly,"2021-05-09 00:00:00",Conventional,0.980596771,708985.81,133429.36,411365.57,162.01,77292.70,71111.86,5635.35,0.00,86736.17
"New Orleans/Mobile",Weekly,"2021-05-09 00:00:00",Conventional,1.022698017,338044.40,129554.53,20937.93,473.77,132940.10,113194.22,5256.43,12370.05,54138.07
"New York",Weekly,"2021-05-09 00:00:00",Conventional,1.249913746,2231319.78,70798.01,1388453.88,1113.83,670476.71,655605.12,13951.35,37.53,100477.34
Orlando,Weekly,"2021-05-09 00:00:00",Conventional,1.203192417,552286.84,231009.56,11323.82,9.90,220798.88,197093.05,8798.87,14682.15,89144.69
Peoria/Springfield,Weekly,"2021-05-09 00:00:00",Conventional,0.966137697,150090.07,52076.05,16815.39,100.06,40129.30,33226.91,3227.31,3415.08,40969.27
Philadelphia,Weekly,"2021-05-09 00:00:00",Conventional,1.093673230,772503.46,156751.25,260586.07,491.82,282094.46,269692.02,9204.09,898.28,72579.87
Phoenix/Tucson,Weekly,"2021-05-09 00:00:00",Conventional,0.906467049,1407231.77,384415.37,248386.36,4432.20,169046.09,108415.26,53.55,38309.56,600951.74
Pittsburgh,Weekly,"2021-05-09 00:00:00",Conventional,1.261199147,124424.78,28037.44,12164.07,26.95,48162.96,42422.12,26.91,5084.10,36033.36
Portland,Weekly,"2021-05-09 00:00:00",Conventional,1.276912667,726089.99,136305.27,67373.32,5265.92,107259.77,94700.61,7728.53,3072.51,409885.71
Providence,Weekly,"2021-05-09 00:00:00",Conventional,1.463209122,114421.77,3469.04,72423.51,73.27,15195.10,13839.69,1278.90,0.00,23260.85
Raleigh/Greensboro,Weekly,"2021-05-09 00:00:00",Conventional,1.152896280,455863.19,198744.39,72606.16,2949.18,156236.19,113490.97,15771.53,0.00,25327.28
Richmond/Norfolk,Weekly,"2021-05-09 00:00:00",Conventional,1.065166979,373437.30,113774.93,67366.06,701.49,86823.85,56777.95,441.53,12170.05,104770.96
Roanoke,Weekly,"2021-05-09 00:00:00",Conventional,0.971742286,226316.53,69256.88,25518.61,70.31,48898.44,34011.78,3313.80,5284.78,82572.29
Sacramento,Weekly,"2021-05-09 00:00:00",Conventional,1.159273360,587327.28,146717.15,250386.52,844.37,98783.35,97221.29,1245.56,0.00,90595.89
"San Diego",Weekly,"2021-05-09 00:00:00",Conventional,1.397465920,498052.65,91248.61,22594.78,13338.37,126701.28,122338.87,2567.25,1121.65,244169.62
"San Francisco",Weekly,"2021-05-09 00:00:00",Conventional,1.441895234,824078.50,213953.17,183375.51,2496.72,148928.34,148247.44,528.24,0.00,275324.77
Seattle,Weekly,"2021-05-09 00:00:00",Conventional,1.466468105,622237.96,103756.27,66621.20,500.87,87389.98,77135.46,5505.02,2802.66,363969.64
"South Carolina",Weekly,"2021-05-09 00:00:00",Conventional,1.205784361,539095.29,232473.31,46005.73,1243.43,161303.25,121810.22,19513.46,1343.41,98069.56
Spokane,Weekly,"2021-05-09 00:00:00",Conventional,1.345786272,90765.18,20807.07,10249.99,40.11,16514.55,13504.74,2651.51,140.51,43153.47
"St. Louis",Weekly,"2021-05-09 00:00:00",Conventional,0.946403981,252558.35,104191.44,9451.51,54.37,69895.74,62205.44,7236.99,0.00,68965.28
Syracuse,Weekly,"2021-05-09 00:00:00",Conventional,1.169298713,107437.83,13747.86,47977.07,635.71,39868.67,36979.89,2781.45,0.00,5208.53
Tampa,Weekly,"2021-05-09 00:00:00",Conventional,1.169062615,571748.19,219632.53,18246.74,19.84,193404.91,170547.15,337.31,22239.00,140444.17
Toledo,Weekly,"2021-05-09 00:00:00",Conventional,0.941975535,170494.93,46976.95,18611.87,4925.82,32787.06,27600.56,1042.78,3592.02,67193.23
"West Tex/New Mexico",Weekly,"2021-05-09 00:00:00",Conventional,1.019349022,942660.63,310638.31,135062.33,8556.13,328934.40,277698.68,3260.68,46984.79,159469.45
Wichita,Weekly,"2021-05-09 00:00:00",Conventional,0.962311697,121725.07,31495.91,3570.49,15.00,29631.40,25180.01,2993.29,1036.39,57012.26
California,Weekly,"2021-05-09 00:00:00",Conventional,1.315807039,6184369.12,1501684.69,801654.68,122622.23,1329473.42,1275273.02,23129.66,22748.91,2428934.11
"Great Lakes",Weekly,"2021-05-09 00:00:00",Conventional,1.078343324,4504114.73,1148253.68,614827.87,164444.55,953686.92,837598.57,24844.69,76094.58,1622901.71
Midsouth,Weekly,"2021-05-09 00:00:00",Conventional,1.113133152,4434382.31,1477149.16,736031.18,12256.80,1350423.67,1057454.63,86924.64,61442.05,858521.50
Northeast,Weekly,"2021-05-09 00:00:00",Conventional,1.196951955,6651274.26,754063.76,3556817.48,8733.21,1766981.68,1678421.19,68607.16,14345.88,564678.14
Plains,Weekly,"2021-05-09 00:00:00",Conventional,1.081011289,2309211.88,676176.62,565975.76,1649.61,660214.91,513790.34,43144.09,55485.13,405194.98
"South Central",Weekly,"2021-05-09 00:00:00",Conventional,0.913748246,6134840.85,2788985.68,583429.02,115669.84,1572898.30,1315303.52,64827.79,170995.04,1073858.01
Southeast,Weekly,"2021-05-09 00:00:00",Conventional,1.173278751,5349496.42,2289182.96,203863.56,1961.21,1656106.42,1416567.32,109286.49,96591.96,1198382.27
West,Weekly,"2021-05-09 00:00:00",Conventional,1.148320012,7321340.21,1623779.15,896515.83,27472.55,1530604.25,1209436.68,89031.36,158988.32,3242968.44
"Total U.S.",Weekly,"2021-05-09 00:00:00",Conventional,1.134961750,42889029.80,12259275.69,7959115.37,454810.00,10820389.58,9303845.28,509795.89,656691.88,11395439.15
Albany,Weekly,"2021-05-09 00:00:00",Organic,1.668485262,3456.08,14.05,363.22,32.63,2871.36,2792.09,0.00,0.00,174.81
Atlanta,Weekly,"2021-05-09 00:00:00",Organic,1.626147035,34900.21,56.46,3005.41,0.00,13636.48,9974.49,0.00,0.00,18201.86
Baltimore/Washington,Weekly,"2021-05-09 00:00:00",Organic,1.276431656,91755.13,429.36,3857.59,9.20,85737.51,85630.34,0.00,12.60,1721.46
Birmingham/Montgomery,Weekly,"2021-05-09 00:00:00",Organic,1.458824713,10824.23,10.97,246.72,0.00,9255.45,7286.83,1159.35,0.00,1311.09
Boise,Weekly,"2021-05-09 00:00:00",Organic,1.839349770,6811.61,1.22,918.75,0.00,1606.50,1606.50,0.00,0.00,4285.15
Boston,Weekly,"2021-05-09 00:00:00",Organic,2.036106845,38037.80,60.69,2024.02,0.00,35105.80,34926.20,0.00,0.00,847.29
Buffalo/Rochester,Weekly,"2021-05-09 00:00:00",Organic,1.574730949,17376.37,1116.66,125.66,1.11,16132.94,16132.94,0.00,0.00,0.00
Charlotte,Weekly,"2021-05-09 00:00:00",Organic,1.620252493,20539.04,63.87,3157.50,14.73,16355.87,15508.71,0.00,0.00,947.06
Chicago,Weekly,"2021-05-09 00:00:00",Organic,1.734605328,75752.37,789.69,6282.20,0.00,21785.66,20945.66,840.00,0.00,46894.83
Cincinnati/Dayton,Weekly,"2021-05-09 00:00:00",Organic,1.946252629,16496.46,630.40,2499.64,0.00,2901.27,2373.71,527.56,0.00,10465.14
Columbus,Weekly,"2021-05-09 00:00:00",Organic,1.720830135,12221.72,601.37,954.84,0.00,3520.51,3104.63,412.73,3.15,7144.99
"Dallas/Ft. Worth",Weekly,"2021-05-09 00:00:00",Organic,1.482355647,51374.67,4697.83,315.09,0.00,33863.30,33863.30,0.00,0.00,12498.44
Denver,Weekly,"2021-05-09 00:00:00",Organic,1.272395088,190698.96,21406.85,1177.66,0.00,13296.54,13296.54,0.00,0.00,154817.90
Detroit,Weekly,"2021-05-09 00:00:00",Organic,1.378210917,23105.10,242.11,1810.71,0.00,14518.13,14518.13,0.00,0.00,6534.15
"Grand Rapids",Weekly,"2021-05-09 00:00:00",Organic,0.918731365,14794.87,23.37,1215.32,0.00,13556.18,13497.86,3.33,0.00,0.00
Harrisburg/Scranton,Weekly,"2021-05-09 00:00:00",Organic,1.297560486,24243.06,142.12,473.86,0.00,23622.36,23241.21,0.00,6.30,4.72
Hartford/Springfield,Weekly,"2021-05-09 00:00:00",Organic,2.165064447,17227.21,195.75,6208.19,0.00,10702.21,10376.69,0.00,0.00,121.06
Houston,Weekly,"2021-05-09 00:00:00",Organic,1.656133297,15842.72,4324.57,41.03,0.00,3275.08,3275.08,0.00,0.00,8202.05
Indianapolis,Weekly,"2021-05-09 00:00:00",Organic,1.641840598,9401.54,162.06,760.97,0.00,4773.89,3858.96,914.93,0.00,3704.63
Jacksonville,Weekly,"2021-05-09 00:00:00",Organic,1.415605836,12910.37,61.85,272.75,0.00,12508.95,12508.95,0.00,0.00,66.82
"Las Vegas",Weekly,"2021-05-09 00:00:00",Organic,1.591342356,17336.17,726.76,363.38,0.00,8103.24,8103.24,0.00,0.00,8142.79
"Los Angeles",Weekly,"2021-05-09 00:00:00",Organic,1.739819919,159430.78,4696.63,2315.85,8.43,70920.85,68991.16,1915.20,3.15,81489.02
Louisville,Weekly,"2021-05-09 00:00:00",Organic,1.910681496,5695.11,0.94,647.01,0.00,1606.38,1542.96,63.43,0.00,3440.77
"Miami/Ft. Lauderdale",Weekly,"2021-05-09 00:00:00",Organic,1.311876771,52808.52,162.48,2.27,0.00,51979.90,51979.90,0.00,0.00,663.86
Nashville,Weekly,"2021-05-09 00:00:00",Organic,1.736213826,14841.01,28.12,1225.13,0.00,7640.49,6605.15,0.00,0.00,5947.26
"Northern New England",Weekly,"2021-05-09 00:00:00",Organic,2.076187269,17610.52,47.39,584.65,0.00,14588.48,14508.96,0.00,0.00,2390.00
"New Orleans/Mobile",Weekly,"2021-05-09 00:00:00",Organic,1.163862887,17207.30,306.53,61.59,0.00,16447.32,13211.95,3235.37,0.00,391.86
"New York",Weekly,"2021-05-09 00:00:00",Organic,1.848584464,104272.27,8385.06,7052.22,189.92,82841.79,73265.31,0.00,0.00,5803.28
Orlando,Weekly,"2021-05-09 00:00:00",Organic,1.317896294,35212.34,52.99,0.00,0.00,33730.49,33730.49,0.00,0.00,1428.87
Peoria/Springfield,Weekly,"2021-05-09 00:00:00",Organic,1.699543397,3834.15,15.49,449.28,0.00,2423.70,2423.70,0.00,0.00,945.68
Philadelphia,Weekly,"2021-05-09 00:00:00",Organic,1.720498466,29823.01,884.34,2138.61,0.00,24526.91,21800.79,0.00,0.00,2273.15
Phoenix/Tucson,Weekly,"2021-05-09 00:00:00",Organic,1.501291655,35778.10,2619.89,918.67,0.00,18217.07,18167.49,0.00,3.15,14022.48
Pittsburgh,Weekly,"2021-05-09 00:00:00",Organic,1.402902744,16414.93,1787.11,7.05,0.00,11092.42,11089.27,0.00,3.15,3528.35
Portland,Weekly,"2021-05-09 00:00:00",Organic,2.036559100,40954.54,347.06,13060.99,0.00,6272.57,5062.31,0.00,0.00,21273.92
